name_a,name_b,score
ketchup,mango,-0.0506
butter,topping,-0.0239
coconut,topping,0.0753
cranberry,orange,0.2174
cranberry,sugar,-0.0163
cranberry,tea,0.1783
orange,tea,0.1822
cheese,cream cheese,-0.0417
cooking oil,ginger,0.1286
cooking oil,mustard,0.0284
cooking oil,soy sauce,0.1309
cooking oil,white wine,-0.006
ginger,white wine,-0.0249
soy sauce,white wine,-0.0297
condensed milk,margarine,0.0914
condensed milk,pie,0.1354
condensed milk,salt,-0.1081
condensed milk,water,-0.0154
margarine,pecans,0.0698
margarine,pie,0.0353
pecans,pie,0.2191
almond,cocoa,0.1028
almond,yogurt,0.0509
cocoa,yogurt,-0.0322
acorn,balsamic vinegar,0.063
acorn,olive oil,0.0501
acorn,spinach,-0.0059
balsamic vinegar,sage,0.1019
mozzarella cheese,sage,-0.0621
mozzarella cheese,white wine,-0.0538
sage,spinach,-0.0127
sage,white wine,0.141
spinach,white wine,0.0512
balsamic vinegar,brown sugar,-0.0072
bacon,pizza,0.056
cheddar cheese,cornbread,0.1667
cornbread,cream,-0.0037
cornbread,jalapeno,0.0795
cornbread,onion,0.087
cornbread,sausage,0.1488
cornbread,water,-0.0151
cream,jalapeno,-0.0896
jalapeno,water,-0.0406
parmesan cheese,salmon,-0.0395
canola oil,cheese,-0.0733
canola oil,grape,-0.012
chicken,grape,-0.0048
chili,sausage,0.0169
kidney beans,meat,0.0398
kidney beans,sausage,0.1822
kidney beans,water,0.062
meat,olive oil,-0.0003
meat,sausage,-0.0349
cabbage,coconut,-0.0696
almond,chocolate,0.1378
pepper,stuffing,-0.0201
pork,stuffing,0.1264
salt,stuffing,-0.1096
sauce,stuffing,0.005
carrot,saffron,0.0784
celery,saffron,0.0447
saffron,salt,0.044
cheddar cheese,tomato,0.0884
chili,turkey,0.1477
enchilada,lettuce,0.0604
enchilada,tomato,0.1216
lettuce,onion,0.0211
lettuce,tomato,-0.0096
oyster,shiitake,0.3247
oyster,tofu,0.1917
oyster,water,0.0402
sesame oil,shiitake,0.3365
sesame oil,tofu,0.3291
coconut,jasmine,0.2637
coconut,shrimp,0.0836
cumin,jasmine,0.0661
ginger,jasmine,0.1718
ginger,onion,0.0415
ginger,shrimp,0.106
jasmine,lime,0.2063
jasmine,pepper,0.0226
jasmine,salt,0.0184
jasmine,shrimp,0.1489
allspice,brown sugar,0.2057
allspice,flour,0.0886
allspice,quinoa,-0.0168
allspice,yogurt,0.0778
brown sugar,quinoa,-0.0581
cinnamon,quinoa,0.0402
flour,quinoa,-0.1808
ginger,quinoa,0.0338
nutmeg,quinoa,0.0046
pepper,vanilla,-0.5368
quinoa,vanilla,-0.0642
quinoa,yogurt,0.0637
water,yogurt,-0.033
butternut squash,ginger,0.1084
butternut squash,orange,-0.019
butter,pear,-0.0315
flour,pear,-0.0579
cheese,wild rice,-0.0734
olive oil,wild rice,0.056
pepper,wild rice,0.0747
cheddar cheese,white wine,-0.1385
broccoli,cheese,0.1204
broccoli,chili,-0.0553
broccoli,sausage,0.0094
celery,sausage,0.1133
allspice,apricot,0.0619
allspice,pomegranate,0.0845
allspice,pork,0.1156
apricot,olive oil,-0.0763
apricot,pepper,-0.0495
apricot,pork,0.1106
pomegranate,pork,-0.0603
avocado,cabbage,0.0358
avocado,mango,0.235
avocado,orange,0.0003
avocado,shrimp,0.1527
cabbage,mango,0.0389
cabbage,orange,-0.0716
cabbage,shrimp,0.042
corn,mango,0.0151
corn,orange,-0.1099
jalapeno,orange,-0.002
lime,orange,0.0926
mango,orange,0.1207
mango,shrimp,0.0948
cocoa powder,raspberry,0.0539
cream,raspberry,0.0575
milk,raspberry,-0.013
cream,ice cream,0.1459
ice cream,lemon,-0.0334
ice cream,syrup,0.0973
lemon,syrup,0.0294
asparagus,balsamic vinegar,0.1483
asparagus,basil,0.0994
asparagus,lettuce,-0.0145
asparagus,maple syrup,-0.1177
asparagus,pine nuts,0.117
balsamic vinegar,maple syrup,0.0558
balsamic vinegar,pine nuts,0.2101
balsamic vinegar,salmon,0.0738
basil,lettuce,0.0075
basil,maple syrup,-0.1724
lettuce,maple syrup,-0.116
lettuce,pine nuts,0.015
lettuce,salmon,0.0661
maple syrup,pine nuts,-0.016
maple syrup,salmon,0.0685
pine nuts,salmon,-0.0409
cauliflower,fennel,0.0553
cauliflower,mustard,0.0927
cauliflower,water,0.0106
coriander,fennel,0.2786
cumin,fennel,0.1608
fennel,mustard,0.0713
pasta,vinegar,-0.1131
honey,pie crust,-0.0709
asparagus,cheese,0.0538
asparagus,cream cheese,-0.0839
asparagus,flour,-0.1373
asparagus,milk,-0.075
bread,yogurt,-0.0713
celery,yogurt,-0.0124
lemon,white wine,0.1409
white wine,yogurt,-0.0942
almond,lemon,-0.0225
almond,maple syrup,0.1963
almond,thyme,-0.2218
lemon,thyme,0.0668
mozzarella cheese,tortilla,0.0526
almond,canola oil,0.0491
almond,margarine,0.0307
canola oil,margarine,-0.1084
brown sugar,nuts,0.1781
milk,nuts,0.0411
butter,champagne,-0.1033
champagne,cream,-0.0543
champagne,egg,-0.1395
champagne,flour,-0.1628
champagne,sugar,0.012
arrowroot,cream,0.0073
arrowroot,lemon,0.0937
arrowroot,sugar,0.033
coffee,lemon,-0.2162
coconut,coriander,0.1933
coriander,peanut butter,-0.0313
coriander,tamarind,0.3263
onion,peanut butter,-0.2072
onion,tamarind,0.0374
brown sugar,honey,0.0486
coconut,jalapeno,-0.0296
honey,jalapeno,-0.027
apricot,egg,0.0068
apricot,pastry,0.1354
beef,feta cheese,-0.1021
beef,rosemary,0.0437
feta cheese,rice,-0.083
feta cheese,rosemary,0.0444
feta cheese,water,-0.0709
rice,rosemary,-0.0935
rosemary,water,-0.0202
fish sauce,olive oil,-0.0794
fish sauce,shrimp,0.2681
fish sauce,water,0.032
lime,oyster,0.0369
olive oil,oyster,-0.0402
oyster,pork,0.2275
oyster,shrimp,0.1588
pork,shrimp,-0.0514
buttermilk,honey,0.0375
chia,coconut,0.2722
chia,honey,0.208
chia,vanilla,0.1694
butter,rosemary,-0.0105
garlic,leek,0.0898
leek,rosemary,0.0611
leek,sage,0.0878
leek,turkey,-0.0195
onion,rosemary,0.0733
brown sugar,potato,-0.1064
brown sugar,syrup,0.1802
cocoa powder,coconut,0.1288
cocoa powder,potato,-0.114
cocoa powder,syrup,0.1047
coconut,potato,0.0117
potato,syrup,-0.137
potato,vanilla,-0.1226
coconut,turmeric,0.2458
cheese,phyllo dough,0.0973
cabbage,canola oil,0.0844
cabbage,carrot,0.2851
cabbage,coriander,0.0541
cabbage,sugar,-0.0677
canola oil,coriander,0.0859
canola oil,lime,0.1103
canola oil,mint,-0.0001
canola oil,star anise,0.0909
carrot,coriander,0.1279
carrot,mint,-0.0076
carrot,star anise,0.0827
coriander,mint,0.1427
coriander,star anise,0.2064
garlic,star anise,0.0465
lime,star anise,0.1375
mint,pork,-0.0878
mint,star anise,0.1196
onion,star anise,0.0225
pepper,star anise,-0.023
pork,star anise,0.1167
salt,star anise,-0.0052
star anise,sugar,0.0572
flour,gruyere cheese,0.0528
gruyere cheese,nutmeg,0.2105
gruyere cheese,spinach,0.092
mustard,nutmeg,-0.0686
cream,honey,-0.0876
lemon,miso,-0.0475
miso,mustard,-0.0584
miso,rice,0.0398
miso,vinegar,0.1654
mustard,rice,-0.1294
beef,sage,0.0201
cheese,red wine,-0.0568
red wine,sage,0.0848
sage,water,0.0015
garlic,molasses,-0.0857
molasses,olive oil,-0.1522
molasses,parsley,-0.2153
molasses,soy sauce,-0.0183
parmesan cheese,soy sauce,-0.2641
cheese,mustard,0.0071
bread,flour,-0.1619
avocado,garlic,0.0199
cheese,pork,-0.102
cheddar cheese,shrimp,-0.0973
chili,tortilla,0.209
beef,sherry,0.075
flour,sage,-0.0309
sage,sherry,0.0612
egg,vermouth,-0.1408
flour,vermouth,-0.0795
parsley,vermouth,0.0958
parsley,yogurt,-0.0083
tomato,vermouth,-0.0285
tomato,yogurt,-0.0099
ginger,peanut oil,0.2993
peanut oil,sesame,0.1618
peanut oil,sesame oil,0.3126
peanut oil,sugar,-0.0072
peanut oil,water,0.0221
gelatin,ice cream,0.1406
ice cream,water,-0.0387
garlic,popcorn,-0.1293
lime,popcorn,-0.0504
olive oil,popcorn,-0.1484
popcorn,salt,0.0491
popcorn,sugar,0.0097
flour,jicama,-0.1455
garlic,jicama,0.0019
jicama,pork,0.0289
jicama,sauce,0.018
jicama,soy sauce,0.0343
jicama,sugar,-0.0313
jicama,water,-0.0388
sauce,sherry,0.0954
lettuce,wheat,0.1099
sauce,wheat,0.0205
butter,lasagna,-0.0634
chicken,lasagna,0.0091
flour,lasagna,-0.0478
lasagna,sour cream,0.0174
cardamom,mustard,-0.0029
cinnamon,mustard,-0.2179
apple,white wine,-0.0195
plum,white wine,0.1507
sauce,wine,0.0143
chili,yogurt,0.0294
oyster,sauce,0.0712
chicken,cranberry,-0.1062
cranberry,salt,-0.129
cocoa powder,topping,0.0316
coffee,raspberry,0.0757
coffee,topping,0.1956
flour,topping,-0.1153
raspberry,topping,0.1241
raspberry,water,-0.0105
salt,topping,-0.2426
almond,brown sugar,0.054
almond,salt,0.0612
chicken,fish,-0.1051
fish,lemon,0.1126
fish,margarine,-0.0291
fish,salt,0.0189
lemon,margarine,-0.0638
margarine,white wine,-0.0763
butter,hazelnut,-0.0031
butternut squash,coconut,0.0682
butternut squash,fennel,0.1257
butternut squash,pecans,0.0669
chicken,fennel,0.0408
chicken,pecans,-0.1475
coconut,cream,-0.039
coconut,fennel,-0.0294
coconut,hazelnut,0.1068
cream,fennel,-0.0339
cream,ginger,-0.0692
cream,hazelnut,0.1456
cream,pecans,0.0258
fennel,ginger,0.0847
fennel,onion,0.1033
ginger,pecans,-0.0508
hazelnut,lemon,-0.0503
hazelnut,olive oil,-0.041
hazelnut,pepper,-0.0746
hazelnut,salt,-0.0109
onion,pecans,-0.2382
basil,peanut oil,0.0216
cheese,peanut oil,-0.1638
peanut oil,rice,0.201
peanut oil,thyme,-0.0822
rice,thyme,0.0379
milk,romano cheese,-0.0368
rice,romano cheese,-0.064
rice,white wine,0.1036
romano cheese,water,-0.0545
romano cheese,white wine,0.1253
asparagus,honey,-0.0524
honey,salmon,0.0617
bread,sourdough,0.0189
olive oil,sourdough,0.0578
salt,sourdough,-0.0037
sourdough,sugar,-0.0614
sourdough,water,-0.013
honey,peanut butter,0.1709
honey,popcorn,0.097
honey,syrup,-0.0232
peanut butter,popcorn,0.1462
peanut butter,syrup,0.2143
popcorn,syrup,0.4045
popcorn,vanilla,0.0514
bacon,rice,-0.0564
cheddar cheese,margarine,0.0097
cauliflower,lemon,0.0027
cauliflower,yogurt,0.0401
basil,gruyere cheese,0.0038
gruyere cheese,parsley,0.0823
butter,macaroni,0.0547
chili,macaroni,0.0135
macaroni,pepper,0.0932
allspice,butter,0.0344
allspice,cream,-0.0039
allspice,egg,0.0297
allspice,milk,0.0003
ginger,pasta,-0.2057
beer,lime,0.0387
beer,mustard,0.147
beer,thyme,0.0758
lime,mustard,-0.0711
lime,thyme,-0.0924
brown sugar,walnut,0.0138
flour,walnut,-0.0432
oats,walnut,0.0692
salt,walnut,0.0369
sugar,walnut,0.0121
vanilla,walnut,-0.0022
chicken,marjoram,0.0913
cumin,feta cheese,0.0205
cumin,marjoram,0.0713
feta cheese,marjoram,0.1309
feta cheese,salt,-0.0076
marjoram,spinach,-0.028
lime,melon,0.236
melon,sugar,0.0034
almond,peanut butter,0.032
almond,rice,-0.1172
peanut butter,rice,0.0774
banana,canola oil,-0.0094
banana,flour,-0.0214
banana,sugar,-0.0154
brown sugar,butternut squash,0.0207
butternut squash,canola oil,-0.0382
butternut squash,flour,-0.0882
butternut squash,sugar,-0.1621
canola oil,cinnamon,0.0827
chicken,rum,-0.1989
pepper,rum,-0.2494
mango,sugar,-0.0172
dill,parmesan cheese,-0.0517
dill,pasta,0.0327
dill,peas,0.1177
dill,salad dressing,0.0735
parsley,salad dressing,-0.0132
peas,salad dressing,0.0872
brown sugar,rum,0.1144
egg,sesame oil,-0.0446
bacon,sesame oil,-0.1865
mustard,sesame oil,-0.1042
salt,sesame oil,-0.0489
butter,rye bread,0.0488
pepper,rye bread,0.0051
chicken,radish,0.0262
chicken,sake,0.1025
miso,radish,0.3258
miso,sake,0.4056
miso,sugar,-0.0472
radish,sake,0.2885
radish,soy sauce,0.2132
sake,soy sauce,0.4037
sake,sugar,0.0244
butter,endive,-0.091
endive,flour,-0.1532
flour,swiss cheese,-0.019
ham,milk,0.0625
ham,nutmeg,-0.0251
milk,swiss cheese,0.0681
garlic,wine,0.0948
green beans,ham,0.0242
ham,wine,-0.007
olive oil,wine,0.0886
parsley,wine,0.1162
pepper,wine,0.0724
pork,wine,0.1117
salt,wine,0.0038
icing,sugar,0.0438
orange,vodka,0.1663
syrup,vodka,0.2103
bread,spinach,0.0054
egg,lettuce,-0.1059
lettuce,lime,0.0918
butter,shiitake,-0.073
cheese,shiitake,-0.0237
cream,shiitake,-0.0223
flour,shiitake,-0.1517
milk,shiitake,-0.1773
cocoa powder,margarine,0.0965
blue cheese,hamburger,0.1915
cocoa,rum,0.1114
feta cheese,parsley,0.1342
basil,cheddar cheese,-0.0823
dark chocolate,flour,0.0621
dark chocolate,milk,0.022
bacon,basil,-0.0207
balsamic vinegar,oregano,0.0766
green beans,oregano,0.0673
corn,cream cheese,-0.0501
brown sugar,pecan,0.1752
butter,pecan,0.1019
chocolate,pecan,0.1359
flour,pecan,0.015
pecan,pecans,0.1959
pecan,salt,0.0259
cocoa powder,marshmallow,0.1586
coffee,marshmallow,0.1
coffee,milk,0.1223
bread,maple syrup,0.1049
cream,maple syrup,0.012
miso,pork,0.1695
miso,sesame oil,0.3078
miso,tofu,0.3473
pork,tofu,0.0637
butter,tortilla,-0.174
milk,tortilla,-0.1235
beans,orange,-0.1156
beans,oregano,0.1632
chili,orange,-0.0906
corn,kidney beans,0.2044
jalapeno,kidney beans,0.1198
jalapeno,oregano,0.0959
kidney beans,oregano,0.2139
orange,tomato,-0.1498
goat cheese,salmon,0.0314
goat cheese,spinach,0.1761
salmon,spinach,0.0808
canola oil,egg,0.0852
canola oil,honey,0.0943
condensed milk,peppermint,0.1881
buckwheat,butter,0.0206
brown sugar,coffee,0.0854
cooking oil,cucumber,0.0263
cooking oil,sugar,-0.0346
cucumber,sugar,-0.0659
bacon,kidney beans,0.0843
bacon,lima beans,0.206
beans,beef,0.134
beans,lima beans,0.1512
beef,lima beans,0.0687
beef,mustard,0.0886
brown sugar,lima beans,-0.0003
kidney beans,lima beans,0.2726
kidney beans,mustard,0.0115
lima beans,mustard,0.0763
lima beans,onion,0.1394
lima beans,pepper,0.0923
bread,goat cheese,0.0743
goat cheese,lemon,0.0412
goat cheese,salt,0.0202
goat cheese,yogurt,-0.0161
salmon,yogurt,0.0267
dates,flour,0.0895
dates,oats,0.253
dates,vanilla,0.1619
dates,water,0.0669
basil,capsicum,0.0893
butter,capsicum,-0.1191
capsicum,olive oil,0.055
capsicum,onion,0.1309
capsicum,pepper,-0.0235
flour,peanut butter,0.0346
beef,wine,0.1345
brown sugar,thyme,-0.1085
brown sugar,wine,-0.0279
onion,wine,0.0173
red wine,wine,-0.0003
thyme,wine,0.1732
tomato,wine,0.0719
chili,hamburger,0.1113
hamburger,pineapple,0.0351
chili,jasmine,0.0673
jasmine,sesame,0.1007
jasmine,sugar,0.0007
jasmine,vinegar,0.0715
chili,cinnamon,-0.0552
cinnamon,oregano,-0.146
cinnamon,pork,-0.114
cinnamon,tomato,-0.104
oats,pecans,0.1966
cinnamon,turkey,-0.1447
egg yolk,milk,0.0781
carrot,leek,0.2487
carrot,white wine,0.0706
flour,leek,-0.1036
leek,parsley,0.0844
leek,white wine,0.1454
soy sauce,thyme,-0.0726
barley,chicken,0.085
barley,parsley,0.1487
barley,sour cream,-0.0596
barley,water,0.1374
beef,green beans,0.0414
beef,shortening,-0.1209
green beans,mushroom,0.1761
green beans,sauce,-0.0205
green beans,shortening,-0.1177
mushroom,sauce,0.0427
sauce,shortening,-0.2332
basil,nuts,-0.158
garlic,nuts,-0.2463
nuts,parmesan cheese,-0.2022
nuts,water,-0.0438
almond,banana,0.196
almond,shortening,0.1253
banana,butter,-0.0538
banana,oats,0.2154
oats,shortening,0.1497
canola oil,lemon,-0.0069
canola oil,orange,0.0498
canola oil,rice,0.0466
cauliflower,flour,-0.0541
cauliflower,margarine,-0.0711
cauliflower,rice,-0.062
margarine,rice,-0.0289
bacon,dill,0.005
bacon,salmon,-0.117
cream,dill,-0.0375
dill,white wine,0.0965
butter,dates,0.026
buttermilk,dates,0.056
buttermilk,olive oil,-0.2012
buttermilk,rosemary,-0.0706
buttermilk,shallot,-0.0874
chicken,dates,-0.1804
chicken,rosemary,0.0977
dates,garlic,-0.1953
dates,olive oil,-0.0998
dates,pepper,-0.175
dates,shallot,0.0117
dates,thyme,-0.1244
lemon,rosemary,0.0813
rosemary,shallot,0.0752
celery,spinach,0.0065
celery,stuffing,0.1752
chicken,stuffing,0.1636
milk,stuffing,0.0277
parmesan cheese,stuffing,0.0323
spinach,stuffing,0.0143
bread,ham,0.157
bread,jalapeno,-0.0926
cheese,jalapeno,0.0945
ham,jalapeno,-0.026
ham,sour cream,-0.003
bread,oregano,0.0222
olive oil,pizza,0.1117
pizza,salt,-0.1082
blue cheese,parsley,0.0185
apricot,cinnamon,0.0438
apricot,cream cheese,0.0781
apricot,milk,-0.0349
banana,margarine,-0.0292
banana,nuts,0.1091
margarine,nuts,0.1332
brown sugar,cream,-0.0143
chili,red wine,0.0251
cheese,cottage cheese,0.0363
cottage cheese,garlic,0.0241
chocolate,pie crust,0.1132
chocolate,pudding,0.1905
cream cheese,pie crust,0.1868
milk,peanut butter,0.0524
peanut butter,pie crust,0.0962
peanut butter,pudding,0.0733
peanut butter,topping,0.1368
pie crust,pudding,0.2204
pie crust,topping,0.3159
sauce,white bread,0.0158
asparagus,celery,-0.0732
asparagus,cream,0.0162
asparagus,onion,-0.003
asparagus,white pepper,0.1289
asparagus,white wine,0.1329
chicken,white pepper,0.1177
white pepper,white wine,0.1521
celery,lentils,0.2473
chard,garlic,0.1389
chard,lentils,0.2359
chard,parmesan cheese,0.1533
chard,parsley,0.0252
chard,salt,0.0276
garlic,lentils,0.1623
leek,lentils,0.1385
lentils,olive oil,0.1526
lentils,parsley,0.1426
lentils,salt,0.0563
butter,feta cheese,-0.1535
feta cheese,oregano,0.2945
feta cheese,white wine,0.0588
oregano,rosemary,0.1563
rosemary,white wine,0.186
ginger,papaya,0.1159
honey,papaya,0.1074
beef,peas,0.0397
peas,pork,0.0017
cardamom,coconut,0.1812
cardamom,cream,0.0518
bread,cheddar cheese,0.0648
bread,swiss cheese,0.2125
cheddar cheese,mozzarella cheese,-0.04
cheddar cheese,swiss cheese,-0.0116
cheese,mozzarella cheese,-0.0375
cheese,swiss cheese,-0.1092
mozzarella cheese,swiss cheese,-0.0683
parmesan cheese,swiss cheese,0.0493
sesame oil,white pepper,0.1472
cheddar cheese,mushroom,0.2118
cheddar cheese,white bread,0.1085
chili,white bread,-0.063
ham,ketchup,0.0334
ham,white bread,0.1822
ketchup,mushroom,-0.0507
ketchup,white bread,0.0876
mushroom,white bread,0.0008
onion,white bread,-0.0225
cheese,sesame,-0.1379
ice cream,nutmeg,0.041
broccoli,cream cheese,-0.0431
broccoli,sour cream,-0.0109
beer,canola oil,0.0599
beer,honey,-0.0046
beer,red wine,-0.0347
canola oil,red wine,0.0085
canola oil,white bread,-0.069
endive,honey,0.1127
endive,mustard,0.1735
endive,pepper,0.0694
endive,red wine,0.1416
honey,roquefort cheese,0.0942
honey,white bread,-0.0617
mustard,roquefort cheese,0.1362
mustard,white bread,0.0893
pepper,roquefort cheese,0.0857
red wine,white bread,0.0001
celery,cucumber,0.0332
celery,dill,0.167
cucumber,mustard,0.0273
cucumber,water,-0.034
dill,mustard,0.2211
dill,sugar,-0.1287
almond,ginger,-0.0826
almond,lime,-0.1404
ginger,wasabi,0.1966
lime,wasabi,0.0677
salt,wasabi,-0.0263
wasabi,water,0.004
broccoli,ham,0.0928
cake,coconut,0.125
apple,cream,-0.0214
apple,sage,0.1542
cream,pork,-0.1269
cream,sage,0.0308
pork,sage,0.1975
beer,brown sugar,0.0427
beer,sugar,-0.0772
cream,pineapple,-0.065
pork,thyme,0.0999
butternut squash,sage,0.3635
chicken,green beans,0.0238
green beans,milk,-0.1262
green beans,tomato,0.0604
egg,meat,-0.0231
meat,tomato,0.1651
jalapeno,milk,-0.1433
buttermilk,chocolate,-0.0045
buttermilk,cream,-0.0242
buttermilk,icing,0.0085
buttermilk,yogurt,-0.0251
canola oil,cream,-0.119
canola oil,icing,-0.0128
canola oil,yogurt,0.0935
cocoa powder,icing,0.189
coffee,icing,0.1197
cream,icing,0.1221
icing,salt,-0.071
icing,vanilla,0.1657
icing,yogurt,-0.0459
celery,tarragon,0.1433
mustard,tarragon,0.2175
parsley,tarragon,0.1922
salt,tarragon,0.059
tarragon,vinegar,0.0889
blue cheese,canola oil,-0.0166
blue cheese,rosemary,0.0528
canola oil,rosemary,-0.0488
pepper,truffle,0.0907
rosemary,truffle,0.1393
chili,salmon,-0.0089
ginger,salmon,0.0848
ketchup,olive oil,-0.0666
ketchup,salmon,-0.0777
salmon,sugar,-0.1956
bread,watercress,0.0707
cream cheese,watercress,-0.0624
garlic,watercress,0.0151
salt,watercress,0.0109
green beans,sesame oil,0.0653
green beans,white pepper,-0.0174
cherry,coconut,-0.0443
ginger,pumpkin,0.1706
lime,yogurt,0.0448
cinnamon,dates,0.1722
dates,salt,0.0331
carrot,tarragon,0.0609
olive oil,tarragon,0.1285
tarragon,white wine,0.253
jalapeno,mexican oregano,0.3002
mexican oregano,pepper,0.0689
mexican oregano,salt,0.076
mexican oregano,sauce,0.0012
mexican oregano,vinegar,0.028
butter,provolone cheese,-0.0142
flour,kale,-0.2165
flour,provolone cheese,-0.1119
milk,mushroom,0.0785
milk,provolone cheese,-0.0966
mushroom,provolone cheese,0.0628
provolone cheese,water,-0.1166
cinnamon,vinegar,-0.1086
black tea,ginger,0.1649
black tea,honey,0.1527
lime,salad dressing,-0.0818
salad dressing,sour cream,0.0308
butter,feta,-0.0928
dill,feta,0.2093
dill,pine nuts,0.0551
dill,spinach,0.0691
feta,olive oil,0.1813
feta,parmesan cheese,-0.0084
feta,pepper,0.0925
feta,pine nuts,0.1416
feta,salt,0.0164
feta,spinach,0.2317
parmesan cheese,pine nuts,0.2015
pine nuts,spinach,0.2174
shrimp,sugar,-0.171
dill,feta cheese,0.213
dill,lemon,0.155
dill,lettuce,0.1228
feta cheese,lettuce,0.1589
cheese,enchilada,0.3058
enchilada,flour,0.0312
enchilada,spinach,0.0421
bacon,cranberry,-0.0911
cranberry,flour,-0.1183
cranberry,milk,-0.1591
cranberry,sausage,-0.0908
brown sugar,crab,-0.14
crab,flour,-0.0408
crab,tomato,-0.0026
crab,water,-0.018
avocado,cucumber,0.2426
avocado,rice,0.0406
avocado,sesame,0.0817
avocado,sugar,-0.2072
avocado,tofu,0.0311
cucumber,rice,0.0589
cucumber,sesame,0.2089
cucumber,tofu,0.1142
sesame,tofu,0.2078
sugar,tofu,-0.0637
garlic,rum,-0.2433
ginger,mango,0.1419
ginger,rum,0.0372
corn,pork,-0.041
cream cheese,dill,0.0329
almond,cream cheese,0.0228
almond,cream,0.06
almond,pastry,0.104
flour,pastry,-0.0206
lettuce,parsley,-0.0413
cocoa powder,white chocolate,0.1573
apple,soy sauce,-0.09
basil,ham,-0.063
bread,sausage,0.0346
ham,spinach,0.0145
cumin,lentils,0.3044
lentils,onion,0.2036
lentils,water,0.1563
beans,cinnamon,-0.1618
beans,couscous,0.0453
beans,wine,-0.0643
butter,couscous,-0.0774
butter,wine,0.0272
cherry,couscous,0.1751
cinnamon,couscous,0.0619
cinnamon,wine,-0.0137
couscous,garlic,0.0343
couscous,pepper,0.1005
basil,pecans,-0.1965
butter,popcorn,0.1194
red wine,soy sauce,-0.0035
soy sauce,tomato,-0.1018
grape,mozzarella cheese,0.1141
hummus,mozzarella cheese,0.1011
apple,butternut squash,0.173
apple,milk,-0.0627
honey,rum,0.0088
onion,popcorn,-0.1439
parmesan cheese,popcorn,0.005
sesame,yogurt,-0.1147
soy sauce,yogurt,-0.2175
tofu,yogurt,-0.0168
egg,peanut oil,-0.0089
flour,peanut oil,-0.0533
milk,peanut oil,-0.1422
chocolate,marshmallow,0.2584
pepper,sourdough,-0.0015
butter,semolina,0.0462
egg,red wine,-0.1432
egg,semolina,0.0643
flour,semolina,0.0887
honey,semolina,0.112
milk,red wine,-0.2154
milk,semolina,0.0672
orange,semolina,0.0804
salt,semolina,0.0497
semolina,sugar,0.1001
semolina,vanilla,0.0295
black tea,chicken,-0.1132
black tea,onion,-0.1207
chicken,meat,-0.0834
meat,white wine,-0.0307
adobo,bacon,0.0571
adobo,beans,0.2051
adobo,brown sugar,-0.038
adobo,celery,0.0102
adobo,kidney beans,0.1747
adobo,sausage,0.0957
beans,sausage,0.112
beef,sausage,0.0805
brown sugar,sausage,-0.129
celery,cumin,0.0349
celery,kidney beans,0.2081
cumin,sausage,-0.0162
cherry,mozzarella cheese,0.0948
cherry,pastry,0
mozzarella cheese,mustard,-0.1056
mozzarella cheese,pastry,0.0013
mustard,pastry,-0.0334
olive oil,pastry,-0.0745
cheese,cumin,0.0498
avocado,chili,0.1333
avocado,cream cheese,-0.0936
coriander,cream cheese,-0.2279
coriander,jalapeno,0.139
cream cheese,lime,-0.1307
agave,butter,-0.1247
agave,lime,0.1651
agave,pineapple,0.0432
agave,sugar,-0.142
butter,goat cheese,-0.0692
goat cheese,lime,-0.0411
goat cheese,pineapple,-0.0955
goat cheese,sugar,-0.1474
nutmeg,orange,0.0925
nutmeg,pastry,0.155
nutmeg,rhubarb,0.1542
orange,pastry,-0.0139
orange,rhubarb,0.1399
pastry,rhubarb,0.1582
brown sugar,oyster,-0.053
cabbage,oyster,0.167
egg,oyster,-0.0409
coriander,sesame oil,0.03
basil,rosemary,0.1073
cheddar cheese,oregano,0.0169
cheddar cheese,rosemary,-0.1065
cheese,lasagna,0.1275
lasagna,milk,0.0394
lasagna,sugar,-0.1653
peanut butter,shortening,0.156
corn,thyme,0.0011
olive oil,shiitake,0.0453
parsley,shiitake,0.0473
marshmallow,nutmeg,-0.0002
marshmallow,white chocolate,0.2618
nutmeg,rum,0.22
nutmeg,white chocolate,-0.0108
rum,white chocolate,0.0307
asparagus,lemon,0.1407
beef,lemon,-0.1937
lettuce,rice,-0.0013
lettuce,water,-0.0871
buttermilk,orange,0.0122
adobo,red wine,0.0617
adobo,rice,0.0353
adobo,shrimp,0.132
red wine,rice,-0.0967
red wine,shrimp,-0.0308
honey,pastry,0.0295
chicken,pumpkin,-0.1051
coconut,pork,-0.1342
peas,pumpkin,-0.1517
pork,pumpkin,-0.1985
bagel,cream cheese,0.2456
oats,peppermint,-0.035
beans,rosemary,0.0502
cheese,rosemary,-0.0128
cumin,ham,-0.1159
ham,oregano,-0.0238
ham,thyme,0.047
oregano,water,-0.0137
thyme,vinegar,0.0029
ham,orange,-0.1068
basil,coriander,-0.055
coriander,parsley,0.0239
beef,pizza,0.0443
oregano,pizza,0.1672
apricot,cake,0.0609
apricot,pecans,0.0851
apricot,water,-0.0027
butter,pudding,0.0043
cake,pecans,0.1343
pecans,pudding,0.1401
pudding,water,0.0071
gin,orange,0.2168
gin,vodka,0.3397
carrot,ham,0.0293
celery,cherry,-0.0762
cherry,red wine,0.1284
butter,sourdough,0.0608
ham,sourdough,0.1667
mustard,sourdough,0.093
sauce,sourdough,0.0165
apple,sour cream,-0.0695
albacore tuna,capers,0.2198
